STAT_VALUE,year_area
647,"(2008, B1)"
738,"(2008, B2)"
858,"(2008, B3)"
613,"(2008, C1)"
479,"(2008, C2)"
570,"(2008, C3)"
1253,"(2008, D1)"
779,"(2008, D2)"
689,"(2008, D3)"
488,"(2008, E1)"
788,"(2008, E2)"
511,"(2008, E3)"
474,"(2008, F1)"
500,"(2008, F2)"
528,"(2008, F3)"
471,"(2008, G1)"
792,"(2008, G2)"
546,"(2008, G3)"
747,"(2008, J1)"
1074,"(2008, J2)"
854,"(2008, J3)"
1080,"(2008, K1)"
729,"(2008, K2)"
1208,"(2008, K3)"
646,"(2008, L1)"
673,"(2008, L2)"
740,"(2008, L3)"
654,"(2008, M1)"
1093,"(2008, M2)"
1003,"(2008, M3)"
745,"(2008, N1)"
449,"(2008, N2)"
971,"(2008, N3)"
718,"(2008, O1)"
602,"(2008, O2)"
513,"(2008, O3)"
471,"(2008, Q1)"
797,"(2008, Q2)"
693,"(2008, Q3)"
687,"(2008, R1)"
635,"(2008, R2)"
674,"(2008, R3)"
667,"(2008, S1)"
629,"(2008, S2)"
722,"(2008, S3)"
690,"(2008, U1)"
940,"(2008, U2)"
566,"(2008, U3)"
622,"(2008, W1)"
582,"(2008, W2)"
505,"(2008, W3)"
830,"(2009, B1)"
739,"(2009, B2)"
883,"(2009, B3)"
633,"(2009, C1)"
525,"(2009, C2)"
520,"(2009, C3)"
1429,"(2009, D1)"
983,"(2009, D2)"
957,"(2009, D3)"
576,"(2009, E1)"
1002,"(2009, E2)"
463,"(2009, E3)"
559,"(2009, F1)"
549,"(2009, F2)"
555,"(2009, F3)"
525,"(2009, G1)"
814,"(2009, G2)"
502,"(2009, G3)"
1092,"(2009, J1)"
923,"(2009, J2)"
885,"(2009, J3)"
1163,"(2009, K1)"
601,"(2009, K2)"
1228,"(2009, K3)"
561,"(2009, L1)"
685,"(2009, L2)"
862,"(2009, L3)"
791,"(2009, M1)"
1405,"(2009, M2)"
1251,"(2009, M3)"
781,"(2009, N1)"
505,"(2009, N2)"
972,"(2009, N3)"
778,"(2009, O1)"
537,"(2009, O2)"
407,"(2009, O3)"
612,"(2009, Q1)"
649,"(2009, Q2)"
690,"(2009, Q3)"
671,"(2009, R1)"
557,"(2009, R2)"
563,"(2009, R3)"
620,"(2009, S1)"
657,"(2009, S2)"
780,"(2009, S3)"
835,"(2009, U1)"
905,"(2009, U2)"
572,"(2009, U3)"
737,"(2009, W1)"
778,"(2009, W2)"
682,"(2009, W3)"
693,"(2010, B1)"
625,"(2010, B2)"
760,"(2010, B3)"
651,"(2010, C1)"
596,"(2010, C2)"
601,"(2010, C3)"
1001,"(2010, D1)"
772,"(2010, D2)"
868,"(2010, D3)"
613,"(2010, E1)"
832,"(2010, E2)"
427,"(2010, E3)"
518,"(2010, F1)"
554,"(2010, F2)"
501,"(2010, F3)"
438,"(2010, G1)"
656,"(2010, G2)"
478,"(2010, G3)"
992,"(2010, J1)"
932,"(2010, J2)"
850,"(2010, J3)"
1047,"(2010, K1)"
557,"(2010, K2)"
893,"(2010, K3)"
497,"(2010, L1)"
723,"(2010, L2)"
892,"(2010, L3)"
911,"(2010, M1)"
1222,"(2010, M2)"
1142,"(2010, M3)"
737,"(2010, N1)"
501,"(2010, N2)"
922,"(2010, N3)"
639,"(2010, O1)"
635,"(2010, O2)"
459,"(2010, O3)"
564,"(2010, Q1)"
717,"(2010, Q2)"
572,"(2010, Q3)"
